t, eta
4.984984984984984635e+01,1.148631857292332636e-01
4.990990990990990639e+01,1.276396398223573481e-01
4.996996996996996643e+01,1.383915312518354257e-01
5.003003003003002647e+01,1.467764497584672645e-01
5.009009009009008651e+01,1.525370127569284362e-01
5.015015015015014654e+01,1.555051101061419305e-01
5.021021021021020658e+01,1.556020495482947075e-01
5.027027027027026662e+01,1.528347041646755666e-01
5.033033033033032666e+01,1.472879567016948388e-01
5.039039039039038670e+01,1.391139138229482985e-01
5.045045045045044674e+01,1.285185175933739044e-01
5.051051051051050678e+01,1.157463043144264514e-01
5.057057057057056682e+01,1.010641462399060747e-01
5.063063063063062685e+01,8.474485555942101733e-02
5.069069069069068689e+01,6.705153019465716346e-02
5.075075075075074693e+01,4.822347738240856385e-02
5.081081081081080697e+01,2.846446579978685956e-02
5.087087087087086701e+01,7.933934220803025295e-03
5.093093093093092705e+01,-1.325836970317173166e-02
